from_country,from_port_id,from_port,to_country,to_port_id,to_port,sea_distance
Greece,21863,Aspropyrgos,Tunisia,23448,Bizerte,748
Greece,21863,Aspropyrgos,Peru,30045,Callao,7193
Greece,21863,Aspropyrgos,Romania,14459,Constantza,556
Greece,21863,Aspropyrgos,Panama,216592,Cristobal,5814
Greece,21863,Aspropyrgos,Ireland,29749,Dublin,2685
Greece,21863,Aspropyrgos,Ukraine,213737,Feodosia,751
Greece,21863,Aspropyrgos,Portugal,23428,Funchal,2097
Greece,21863,Aspropyrgos,Tunisia,23495,Gabes,769
Greece,21863,Aspropyrgos,Romania,14470,Galatz,680
Greece,21863,Aspropyrgos,Poland,12543,Gdansk,3667
Greece,21863,Aspropyrgos,Italy,11174,Genoa,980
Greece,21863,Aspropyrgos,Puerto Rico,13610,Guanica,4912
Greece,21863,Aspropyrgos,Slovenia,24795,Izola,843
Greece,21863,Aspropyrgos,Russia,11771,Kaliningrad,3702
Greece,21863,Aspropyrgos,Slovenia,21381,Koper,843
Greece,21863,Aspropyrgos,Portugal,13012,Leixoes,1943
Greece,21863,Aspropyrgos,United Kingdom,29002,Liverpool,2755
Greece,21863,Aspropyrgos,United Kingdom,29239,London,2809
Greece,21863,Aspropyrgos,United States,14635,Los Angeles,8765
Greece,21863,Aspropyrgos,Sweden,20512,Lysekil,3285
Greece,21863,Aspropyrgos,Mexico,14277,Manzanillo,7578
Greece,21863,Aspropyrgos,Venezuela,19974,Maracaibo,5374
Greece,21863,Aspropyrgos,Peru,10860,Matarani,7628
Greece,21863,Aspropyrgos,Turkey,22522,Mersin,594
Greece,21863,Aspropyrgos,Monaco,21457,Monaco,1008
Greece,21863,Aspropyrgos,Uruguay,17941,Montevideo,6681
Greece,21863,Aspropyrgos,Norway,27728,Narvik,3897
Greece,21863,Aspropyrgos,United States,25007,New Jersey,4702
Greece,21863,Aspropyrgos,Greece,21852,Piraeus,10
Greece,21863,Aspropyrgos,Slovenia,22770,Piran,843
Greece,21863,Aspropyrgos,Guatemala,29973,Puerto Quetzal,6742
Greece,21863,Aspropyrgos,Puerto Rico,13756,San Juan,4843
Greece,21863,Aspropyrgos,Portugal,13390,Setubal,1773
Greece,21863,Aspropyrgos,Russia,18454,St Petersburg,4092
Greece,21863,Aspropyrgos,Sweden,21206,Stockholm,3823
Greece,21863,Aspropyrgos,Spain,18937,Valencia,1245
Greece,21863,Aspropyrgos,Italy,13176,Venice,863
Greece,21863,Aspropyrgos,Mexico,21451,Veracruz,6308
Greece,21863,Aspropyrgos,Netherlands,23247,Vlissingen,2805
Argentina,14113,Bahia Blanca,Denmark,10358,Aarhus,7147
Argentina,14113,Bahia Blanca,Turkey,246265,Ambarli,7352
Argentina,14113,Bahia Blanca,Belgium,19057,Antwerp,6625
Argentina,14113,Bahia Blanca,Greece,21863,Aspropyrgos,7056
Argentina,14113,Bahia Blanca,Panama,216593,Balboa,4904
Argentina,14113,Bahia Blanca,Spain,17386,Barcelona,6082
Argentina,14113,Bahia Blanca,Georgia,18137,Batumi,7953
Argentina,14113,Bahia Blanca,Norway,26147,Bergen,7062
Argentina,14113,Bahia Blanca,Tunisia,23448,Bizerte,6310
Argentina,14113,Bahia Blanca,Bulgaria,20826,Bourgas,7493
Argentina,14113,Bahia Blanca,France,18012,Brest,6201
Argentina,14113,Bahia Blanca,Colombia,28261,Buenaventura,4683
Argentina,14113,Bahia Blanca,Argentina,26670,Buenos Aires,557
Argentina,14113,Bahia Blanca,Peru,30045,Callao,3622
Argentina,14113,Bahia Blanca,Colombia,28313,Cartagena,5388
Argentina,14113,Bahia Blanca,Romania,14459,Constantza,7563
Argentina,14113,Bahia Blanca,Denmark,10563,Copenhagen,7171
Argentina,14113,Bahia Blanca,Panama,216592,Cristobal,5623
Argentina,14113,Bahia Blanca,El Salvador,15107,Cutuco,5191
Argentina,14113,Bahia Blanca,Ireland,29749,Dublin,6431
Argentina,14113,Bahia Blanca,France,18326,Dunkirk,6521
Argentina,14113,Bahia Blanca,Ecuador,14226,Esmeraldas,4443
Argentina,14113,Bahia Blanca,Ukraine,213737,Feodosia,7758
Argentina,14113,Bahia Blanca,Portugal,23428,Funchal,5101
Argentina,14113,Bahia Blanca,Tunisia,23495,Gabes,6602
Argentina,14113,Bahia Blanca,Romania,14470,Galatz,7687
Argentina,14113,Bahia Blanca,Poland,12543,Gdansk,7437
Argentina,14113,Bahia Blanca,Italy,11174,Genoa,6414
Argentina,14113,Bahia Blanca,Puerto Rico,13610,Guanica,4969
Argentina,14113,Bahia Blanca,Ecuador,29876,Guayaquil,4265
Argentina,14113,Bahia Blanca,Canada,22226,Halifax,5990
Argentina,14113,Bahia Blanca,Germany,224858,Hamburg,6873
Argentina,14113,Bahia Blanca,Finland,16485,Helsinki,7721
Argentina,14113,Bahia Blanca,Portugal,18433,Horta,5272
Argentina,14113,Bahia Blanca,Slovenia,24795,Izola,7211
Argentina,14113,Bahia Blanca,Russia,11771,Kaliningrad,7472
Argentina,14113,Bahia Blanca,Slovenia,21381,Koper,7211
Argentina,14113,Bahia Blanca,Finland,16737,Kotka,7776
Argentina,14113,Bahia Blanca,Cyprus,10136,Larnaca,7488
Argentina,14113,Bahia Blanca,Portugal,13012,Leixoes,5763
Argentina,14113,Bahia Blanca,United Kingdom,29002,Liverpool,6510
Argentina,14113,Bahia Blanca,United Kingdom,29239,London,6579
Argentina,14113,Bahia Blanca,United States,14635,Los Angeles,6832
Argentina,14113,Bahia Blanca,Sweden,20512,Lysekil,7055
Argentina,14113,Bahia Blanca,Mexico,14277,Manzanillo,5745
Argentina,14113,Bahia Blanca,Venezuela,19974,Maracaibo,5142
Argentina,14113,Bahia Blanca,Peru,10860,Matarani,3334
Argentina,14113,Bahia Blanca,Turkey,22522,Mersin,7528
Argentina,14113,Bahia Blanca,Monaco,21457,Monaco,6336
Argentina,14113,Bahia Blanca,Uruguay,17941,Montevideo,460
Argentina,14113,Bahia Blanca,Norway,27728,Narvik,7561
Argentina,14113,Bahia Blanca,United States,25007,New Jersey,6129
Argentina,14113,Bahia Blanca,Greece,21852,Piraeus,7048
Argentina,14113,Bahia Blanca,Slovenia,22770,Piran,7211
Argentina,14113,Bahia Blanca,Portugal,18476,Ponta Delgada,5250
Argentina,14113,Bahia Blanca,Georgia,18682,Poti,7970
Argentina,14113,Bahia Blanca,Costa Rica,28781,Puerto Limon,5784
Argentina,14113,Bahia Blanca,Guatemala,29973,Puerto Quetzal,5257
Argentina,14113,Bahia Blanca,Croatia,24951,Rijeka,7175
Argentina,14113,Bahia Blanca,Brazil,20301,Rio Grande,710
Argentina,14113,Bahia Blanca,Germany,20072,Rostock,7280
Argentina,14113,Bahia Blanca,Brazil,20351,Salvador,2126
Argentina,14113,Bahia Blanca,Puerto Rico,13756,San Juan,5016
Argentina,14113,Bahia Blanca,Chile,27792,San Vicente,2174
Argentina,14113,Bahia Blanca,Brazil,27248,Santos,1280
Argentina,14113,Bahia Blanca,Portugal,13390,Setubal,5608
Argentina,14113,Bahia Blanca,Croatia,21556,Split,7055
Argentina,14113,Bahia Blanca,Russia,18454,St Petersburg,7862
Argentina,14113,Bahia Blanca,Sweden,21206,Stockholm,7593
Argentina,14113,Bahia Blanca,Estonia,18867,Tallinn,7700
Argentina,14113,Bahia Blanca,Spain,18937,Valencia,5954
Argentina,14113,Bahia Blanca,Chile,28082,Valparaiso,2394
Argentina,14113,Bahia Blanca,Canada,25350,Vancouver,7971
Argentina,14113,Bahia Blanca,Bulgaria,20847,Varna,7516
Argentina,14113,Bahia Blanca,Italy,13176,Venice,7231
Argentina,14113,Bahia Blanca,Mexico,21451,Veracruz,6632
Argentina,14113,Bahia Blanca,Netherlands,23247,Vlissingen,6575
Argentina,14113,Bahia Blanca,Belgium,19473,Zeebrugge,6554
Panama,216593,Balboa,Turkey,246265,Ambarli,6149
Panama,216593,Balboa,Spain,17386,Barcelona,4879
Panama,216593,Balboa,Tunisia,23448,Bizerte,5107
Panama,216593,Balboa,Peru,30045,Callao,1340
Panama,216593,Balboa,Romania,14459,Constantza,6360
Panama,216593,Balboa,Panama,216592,Cristobal,39
Panama,216593,Balboa,Ukraine,213737,Feodosia,6555
Panama,216593,Balboa,Tunisia,23495,Gabes,5399
Panama,216593,Balboa,Romania,14470,Galatz,6484
Panama,216593,Balboa,Poland,12543,Gdansk,5449
Panama,216593,Balboa,Puerto Rico,13610,Guanica,956
Panama,216593,Balboa,Slovenia,24795,Izola,6008
Panama,216593,Balboa,Russia,11771,Kaliningrad,5484
Panama,216593,Balboa,Slovenia,21381,Koper,6008
Panama,216593,Balboa,Portugal,13012,Leixoes,4229
Panama,216593,Balboa,United Kingdom,29002,Liverpool,4579
Panama,216593,Balboa,United Kingdom,29239,London,4799
Panama,216593,Balboa,United States,14635,Los Angeles,2912
Panama,216593,Balboa,Sweden,20512,Lysekil,5056
Panama,216593,Balboa,Venezuela,19974,Maracaibo,715
Panama,216593,Balboa,Peru,10860,Matarani,1775
Panama,216593,Balboa,Turkey,22522,Mersin,6325
Panama,216593,Balboa,Uruguay,17941,Montevideo,5235
Panama,216593,Balboa,United States,25007,New Jersey,2018
Panama,216593,Balboa,Slovenia,22770,Piran,6008
Panama,216593,Balboa,Puerto Rico,13756,San Juan,1031
Panama,216593,Balboa,Portugal,13390,Setubal,4209
Panama,216593,Balboa,Russia,18454,St Petersburg,5874
Panama,216593,Balboa,Sweden,21206,Stockholm,5605
Panama,216593,Balboa,Spain,18937,Valencia,4751
Spain,17386,Barcelona,Turkey,246265,Ambarli,1454
Spain,17386,Barcelona,Tunisia,23448,Bizerte,436
Spain,17386,Barcelona,Ukraine,213737,Feodosia,1860
Spain,17386,Barcelona,Tunisia,23495,Gabes,721
Spain,17386,Barcelona,United Kingdom,29002,Liverpool,1781
Spain,17386,Barcelona,United Kingdom,29239,London,1835
Spain,17386,Barcelona,United States,14635,Los Angeles,7791
Spain,17386,Barcelona,Sweden,20512,Lysekil,2311
Spain,17386,Barcelona,Venezuela,19974,Maracaibo,4400
Spain,17386,Barcelona,Turkey,22522,Mersin,1636
Spain,17386,Barcelona,Uruguay,17941,Montevideo,5707
Spain,17386,Barcelona,United States,25007,New Jersey,3728
Spain,17386,Barcelona,Sweden,21206,Stockholm,2849
Spain,17386,Barcelona,Spain,18937,Valencia,164
Georgia,18137,Batumi,Turkey,246265,Ambarli,601
Georgia,18137,Batumi,Greece,21863,Aspropyrgos,946
Georgia,18137,Batumi,Panama,216593,Balboa,6750
Georgia,18137,Batumi,Spain,17386,Barcelona,2055
Georgia,18137,Batumi,Norway,26147,Bergen,4198
Georgia,18137,Batumi,Tunisia,23448,Bizerte,1639
Georgia,18137,Batumi,Peru,30045,Callao,8090
Georgia,18137,Batumi,Romania,14459,Constantza,588
Georgia,18137,Batumi,Panama,216592,Cristobal,6711
Georgia,18137,Batumi,Ireland,29749,Dublin,3582
Georgia,18137,Batumi,Ukraine,213737,Feodosia,343
Georgia,18137,Batumi,Portugal,23428,Funchal,2994
Georgia,18137,Batumi,Tunisia,23495,Gabes,1660
Georgia,18137,Batumi,Romania,14470,Galatz,643
Georgia,18137,Batumi,Poland,12543,Gdansk,4564
Georgia,18137,Batumi,Italy,11174,Genoa,1871
Georgia,18137,Batumi,Puerto Rico,13610,Guanica,5809
Georgia,18137,Batumi,Germany,224858,Hamburg,4000
Georgia,18137,Batumi,Slovenia,24795,Izola,1734
Georgia,18137,Batumi,Russia,11771,Kaliningrad,4599
Georgia,18137,Batumi,Slovenia,21381,Koper,1734
Georgia,18137,Batumi,Portugal,13012,Leixoes,2840
Georgia,18137,Batumi,United Kingdom,29002,Liverpool,3652
Georgia,18137,Batumi,United Kingdom,29239,London,3706
Georgia,18137,Batumi,United States,14635,Los Angeles,9662
Georgia,18137,Batumi,Sweden,20512,Lysekil,4182
Georgia,18137,Batumi,Mexico,14277,Manzanillo,8475
Georgia,18137,Batumi,Venezuela,19974,Maracaibo,6271
Georgia,18137,Batumi,Peru,10860,Matarani,8525
Georgia,18137,Batumi,Turkey,22522,Mersin,1336
Georgia,18137,Batumi,Monaco,21457,Monaco,1899
Georgia,18137,Batumi,Uruguay,17941,Montevideo,7578
Georgia,18137,Batumi,Norway,27728,Narvik,4794
Georgia,18137,Batumi,United States,25007,New Jersey,5599
Georgia,18137,Batumi,Greece,21852,Piraeus,938
Georgia,18137,Batumi,Slovenia,22770,Piran,1734
Georgia,18137,Batumi,Georgia,18682,Poti,31
Georgia,18137,Batumi,Guatemala,29973,Puerto Quetzal,7639
Georgia,18137,Batumi,Germany,20072,Rostock,4407
Georgia,18137,Batumi,Puerto Rico,13756,San Juan,5740
Georgia,18137,Batumi,Portugal,13390,Setubal,2670
Georgia,18137,Batumi,Russia,18454,St Petersburg,4989
Georgia,18137,Batumi,Sweden,21206,Stockholm,4720
Georgia,18137,Batumi,Spain,18937,Valencia,2136
Georgia,18137,Batumi,Italy,13176,Venice,1755
Georgia,18137,Batumi,Mexico,21451,Veracruz,7205
Georgia,18137,Batumi,Netherlands,23247,Vlissingen,3702
Norway,26147,Bergen,Turkey,246265,Ambarli,3597
Norway,26147,Bergen,Panama,216593,Balboa,4873
Norway,26147,Bergen,Spain,17386,Barcelona,2327
Norway,26147,Bergen,Tunisia,23448,Bizerte,2555
Norway,26147,Bergen,Peru,30045,Callao,6213
Norway,26147,Bergen,Romania,14459,Constantza,3808
Norway,26147,Bergen,Panama,216592,Cristobal,4834
Norway,26147,Bergen,Ukraine,213737,Feodosia,4003
Norway,26147,Bergen,Tunisia,23495,Gabes,2847
Norway,26147,Bergen,Romania,14470,Galatz,3932
Norway,26147,Bergen,Poland,12543,Gdansk,723
Norway,26147,Bergen,Puerto Rico,13610,Guanica,4026
Norway,26147,Bergen,Slovenia,24795,Izola,3456
Norway,26147,Bergen,Russia,11771,Kaliningrad,758
Norway,26147,Bergen,Slovenia,21381,Koper,3456
Norway,26147,Bergen,Portugal,13012,Leixoes,1381
Norway,26147,Bergen,United Kingdom,29002,Liverpool,740
Norway,26147,Bergen,United Kingdom,29239,London,613
Norway,26147,Bergen,United States,14635,Los Angeles,7785
Norway,26147,Bergen,Sweden,20512,Lysekil,330
Norway,26147,Bergen,Venezuela,19974,Maracaibo,4495
Norway,26147,Bergen,Peru,10860,Matarani,6648
Norway,26147,Bergen,Turkey,22522,Mersin,3773
